entity_head	relation	entity_tail
m.0j6q39l	0	m.01vsnff
m.0l1g55	0	m.017959
m.0l1g55	1	m.03f2618
m.0lh2f5	0	m.01cng
m.0lmpnn	0	m.0bk1p
m.0m2hc6	2	m.027k8hq
m.0m2hc6	1	m.01wpsyc
m.0m2hc6	2	m.01wpsyc
m.0m2hc6	1	m.027k8hq
m.0m2hc6	1	m.03j11vl
m.0m2hc6	2	m.03j11vl
m.0m2hc6	0	m.09jm8
m.0m3rl9	0	m.01wj18h
m.0m3rl9	2	m.027dsdp
m.0m3rl9	2	m.01wj18h
m.0m442d	0	m.02dfb
m.0m9fnn	2	m.03f449k
m.0m9fnn	0	m.01gbdj
m.0m9fnn	2	m.027q0k9
m.0mfsj0	0	m.01dv9_
m.0mmdpw	2	m.01s560x
m.0mmdpw	0	m.01s560x
m.0mndt0	0	m.01403_
m.0mndt0	1	m.01w_ggr
m.0mndt0	2	m.01x1lf
m.0mndt0	2	m.05s1vn
m.0mqnnn	0	m.01vrncs
m.0n746k	0	m.0khth
m.0n7q_7	0	m.01k9t__
m.0nc8v9	0	m.0134pk
m.0nk_hxq	0	m.02ndj5
m.0nl1736	1	m.0twjwn5
m.0nl1736	1	m.03f7x9w
m.0nl1736	2	m.03f7x9w
m.0nl1736	1	m.0tqffv3
m.0nl1736	1	m.03f7x5_
m.0nl1736	0	m.044cyx
m.0nl1736	2	m.012y93
m.0nl1736	1	m.012y93
m.0nl1736	2	m.03f7x5_
m.0nlkqk6	0	m.0cfhb
m.0nlqgyt	0	m.03j072m
m.0nnqsl3	0	m.01rpl__
m.0nnt_r_	0	m.01vvz9s
m.0np2v_p	0	m.01skz_
m.0pjwvh	0	m.0137g1
m.0q2c8d	0	m.0prx6
m.0q88219	0	m.0hr01lc
m.0qsvj9	0	m.02pg8b
m.0rf2hmt	0	m.03fs0m
m.0rt4h1y	0	m.0nhz2jj
m.0slw5xk	0	m.01s49j4
m.0sxg9h	2	m.0bql4z
m.0sxg9h	0	m.02w9wt
m.0sxg9h	1	m.0bql4z
m.0wn9j4	0	m.07mvp
m.0wn9j4	1	m.01x08cd
m.0wn9j4	2	m.01ws9w
m.0wtkrxy	0	m.03g5jw
m.0x0mtg	0	m.045wvq
m.0z1lrq	0	m.01v_l1d
m.011sbt5	0	m.0lb_3
m.011wzvy	0	m.012vxj
m.011wzvy	2	m.012vxj
m.0125j2j	2	g.1yjg84v6c
m.0125j2j	2	m.08tfqn
m.0125j2j	0	m.01wsl7c
m.0125y1y	2	m.019389
m.0125y1y	2	m.01vtxkw
m.0125y1y	0	m.07r1_
m.012kcb3	0	m.045nn5
m.012z3kl	0	m.026f8f
m.013v1md	0	m.01vrncs
m.014_fsg	0	m.01vzl3
m.016csp8	0	m.0233hp
m.017kqgc	0	m.01czx
m.01847kj	0	m.06br6t
m.01c6ck7	0	m.0f3rcb
m.0_7lqq	0	m.0dvqq
m.0_7lqq	2	m.0dvqq
m.0_7lqq	1	m.01vrwwx
m.0_7lqq	2	m.01vrwwx
m.0d_byz5	0	m.06d7ht
m.0dn82yf	0	m.03nvk3d
m.0dng4kd	0	m.03b588
m.0dp51zb	0	m.0l01mh
m.0dqftz3	0	m.026v_3g
m.0dtvpzc	0	m.01qm_dw
m.0dv01_c	0	m.02w3mv7
m.0dvyb4p	0	m.03hnkd7
m.0dxygmw	0	m.09glbkm
m.0dyt7fb	0	m.03jc3j
m.0f0wnq7	2	m.03hzpqw
m.0f0wnq7	2	m.025xh6t
m.0f0wnq7	0	m.025xh6t
m.0f0xbd1	0	m.016ptc
m.0f1f459	0	m.03l_rk
m.0f1npl9	0	m.043grk
m.0f6_3b1	0	m.01t0nl5
m.0f78d83	0	m.05wyj7
m.0fvbt3h	0	m.0dq5lk8
m.0fvqkkm	0	m.01r5v57
m.0fw5cz5	0	m.03cnvb8
m.0fwq78s	0	m.04fd57z
m.0fwxc1m	1	m.0gl0c
m.0fwxc1m	2	m.0gl0c
m.0fwxc1m	0	m.0gl0c
m.0fwxc1m	1	m.012mwtf9
m.0fx7rwf	0	m.02x5_p1
m.0fy6lt_	0	m.01pnbvw
m.0fzcn6c	0	m.01pmx56
m.0g02g1r	0	m.01mwtpw
m.0g6y6cg	0	m.06tncy
m.0g79lfv	0	m.016ntp
m.0k29bz0	0	m.01w7nvv
m.0k29bz0	2	m.01w7nvv
m.0lh6z_	0	m.0178kd
m.0lsnvh	0	m.07m7k
m.0lw5yg	0	m.01s560x
m.0lw5yg	2	m.01bpnd
m.0lw5yg	2	m.01vsmrs
m.0lxjn6	0	m.0ntq7
m.0mf60z	0	m.01dpts
m.0msyvy	0	m.044xhk
m.0mywbf	0	m.01qczr
m.0n8vpk	2	m.04d2gbl
m.0n8vpk	0	m.0134pk
m.0n8vpk	2	m.04d2gbr
m.0n8vpk	1	g.11h1t8yv7
m.0n8vpk	1	m.078dsm
m.0n8vpk	1	m.0nhtsrf
m.0n8vpk	2	m.078dsm
m.0n8vpk	2	m.0134pk
m.0nlt0ml	0	m.04dpt7
m.0nmj96g	0	m.01snt22
m.0nn8036	0	m.0cm96f1
m.0nn8036	2	m.01vlcxm
m.0nnhwhy	2	m.026qg04
m.0nnhwhy	0	m.026qg04
m.0nnppdp	2	m.01w08_c
m.0nnppdp	0	m.01tm_l
m.0p_zcx	0	m.01qczr
m.0pd2jgd	0	m.02zd7f
m.0pgz2v	2	m.01t8399
m.0pgz2v	0	m.0jnk7
m.0pgz2v	1	m.0j_w06
m.0pgz2v	2	m.0j_w06
m.0pyqkh	0	m.02dfb
m.0qddl0b	1	m.03h_fp8
m.0qddl0b	2	m.03j0xbz
m.0qddl0b	0	m.02fw4x
m.0qddl0b	2	g.11b5v351h0
m.0qddl0b	2	m.01wvtmf
m.0qjtm0r	0	m.080hxrz
m.0qp5f_	0	m.03h_fk5
m.0qwwkg	0	m.03bcmp
m.0r41w0	0	m.016m5c
m.0r41w0	2	m.016m5c
m.0r41w0	2	m.01w7b6x
m.0r8ct1p	1	m.03f160j
m.0r8ct1p	2	m.0389k0
m.0r8ct1p	1	m.0nhb2ls
m.0r8ct1p	0	m.01vsy7t
m.0r8ct1p	1	m.03f0h4n
m.0r8ct1p	1	m.0389k0
m.0r8ct1p	2	m.01vsy7t
m.0rfpsdd	0	m.03clmwn
m.0rjnnn2	0	m.0dmcg5q
m.0rz39m	0	m.017m7n
m.0s1y7p	0	m.063945
m.0sms1cl	0	m.03d9d6
m.0t3wbf	0	m.072q26
m.0tpysf9	0	m.04s9xm
m.0tzmwg	0	m.02gpsh
m.0v43mj	0	m.05k79
m.0vxdyhw	0	m.01x1ln0
m.0xy7x8	0	m.01qxm2
m.0yblp9f	0	m.03gqqf8
m.0z813s	1	m.07vpj7
m.0z813s	0	m.07vpj7
m.011c_n3	1	m.027nx_h
m.011c_n3	0	m.0fsyx
m.011c_n3	2	m.01whwvr
m.0164dsf	0	m.02lq1t
m.016ts83	0	m.015189
m.01d1f6p	0	m.01lhgdk
m.01d1f6p	2	m.03yj31
m.01d3gjz	0	m.05jj6d
m.01dm4_4	2	m.04zw7ss
m.01dm4_4	0	m.0dtn7
m.01dzvc4	0	m.0d46zx
m.07mq4dk	0	m.0d193h
m.0_pch2	1	m.06v5_4
m.0_pch2	0	m.029gmr
m.0_pch2	2	m.029gmr
m.0_wv5s7	0	m.0p19t
m.0_wv5s7	2	m.04dzccr
m.0_wv5s7	1	m.04dzccr
m.0dnsg1q	0	m.0cfhb
m.0dnxm6r	0	m.02_0s9
m.0dnyhcb	2	m.0bv5sf5
m.0dnyhcb	0	m.03xnvg3
m.0dqf03c	0	m.0kvnn
m.0drnspr	0	m.01ppw6d
m.0dsyjrq	1	m.09ghkfj
m.0dsyjrq	2	m.0137g1
m.0dsyjrq	1	m.03f2t59
m.0dsyjrq	2	m.01w806h
m.0dsyjrq	0	m.0137g1
m.0dts8xx	0	m.0dmc57g
m.0dv2fpf	0	m.01vrt_c
m.0dvys_g	0	m.02x2gc
m.0dw5b__	0	m.03ckjdx
m.0dwwtyr	0	m.06d7ht
m.0f39r7v	0	m.03wc88q
m.0f5rt7s	0	m.0dw4g
m.0fd3g9z	0	m.017j6
m.0fqpf23	0	m.0l030d
m.0frs10d	0	m.04mky3
m.0fvg2x0	0	m.02h7gb
m.0fx6nd5	0	m.01pbcp4
m.0fx7t3z	0	m.05c1lzl
m.0g6j13c	0	m.017m5b
m.0gdsx18	2	m.01x1lf
m.0gdsx18	0	m.01403_
m.0l5rwj	0	m.0m9sx
m.0lh9cb	0	m.02k9cf
m.0lhvz5	1	m.01w9spx
m.0lhvz5	2	m.03_tt8
m.0lhvz5	0	m.0fhxv
m.0lwvtj	0	m.01v0sxx
m.0lywjb	0	m.02g_zp
m.0m0q0_	0	m.01k_yf
m.0m4phs	0	m.014qwz
m.0m9t1q	0	m.047cx
m.0m9t1q	2	m.01wbb27
m.0mh43k	0	m.02t3ln
m.0nl33pt	0	m.0dnq1kh
m.0nl4q9q	0	m.07k610d
m.0nmjzjl	0	m.09d2l9
m.0nmystf	0	m.049glf6
m.0nn3r57	0	m.0dxh9dp
m.0pjwvq	0	m.0137g1
m.0py2t9	0	m.0475q
m.0q8hry	0	m.04rcr
m.0qc_mb	0	m.03dcxp
m.0qdbwj1	0	m.0q94zth
m.0qt8mt	0	m.0chrtk
m.0rf060k	0	m.01lhmt1
m.0rfnq2_	0	m.01l3bjd
m.0rfptr5	0	m.01nfs9_
m.0rky6fr	0	m.0dxh9dp
m.0rnrlk	0	m.043639
m.0rrzrj8	0	m.01sjj0w
m.0skcv3k	0	m.0982h
m.0sl5f01	0	m.0j42l4h
m.0t1jfc	0	m.0ntq7
m.0tnlr3	0	m.013pgn
m.0trll80	0	m.0gyxckp
m.0trll80	0	m.0sqyf6k
m.0txx71x	0	m.04tv80
m.0vnqf2	0	m.02dzcv
m.0vsflp	0	m.03q763
m.0wng5qg	0	m.06mj4
m.0wr1q7	0	m.01w83zq
m.0x3hw4	0	m.07bxfr
m.0x_pxn	0	m.04cfdk
m.0y9l5s	0	m.01195m
m.0yt5rv4	0	m.0j9k3bv
m.0yt5rv4	2	m.023p29
m.0yt5rv4	2	m.0_6m0__
m.0zx4nn	0	m.01vvydl
m.01139rq	0	m.0560w
m.011cpxv	0	m.058_hh
m.0128tm7	0	m.06kw7z
m.012gxq1	2	m.01zrx0
m.012gxq1	0	m.01zrx0
m.012z54k	1	m.0cgv4g
m.012z54k	0	m.0370w8
m.012z54k	2	m.0370w8
m.012zlt5	0	m.01mkq0x
m.0142ptk	0	m.03r97p
m.016l8l0	2	m.0b77f0
m.016l8l0	0	m.03y63m
m.0172nv6	0	m.01gbdj
m.0172nv6	2	m.096sdj
m.019c_sw	0	m.01wg982
m.019c_sw	2	m.01vx62c
m.019c_sw	2	m.01wg982
m.01bf19h	0	m.04mky3
m.01bjl9t	0	m.04yfm2
m.01cfz7q	0	m.038g3n
m.01cqlfc	2	m.01yvs2
m.01cqlfc	0	m.01yvs2
m.01dc5lf	0	m.01vv7sc
m.01f17p1	0	m.01wjgjb
m.0_j42jk	0	m.03ckjdx
m.0d_vcvt	0	m.0560w
m.0dn0gqm	0	m.02tmxp
